Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
RADDWNKU_Kilinc and Kaledibi - 2023 - Audio deepfake detection by using machine and deep learning.pdf,Audio deepfake detection by using machine and deep learning,"HH Kilinc, F Kaledibi","Speech, communication, and financial fraud",Artificially generated audio sequences that mimic real voices with realistic features like intonation and accents.,Original Modification,"The paper discusses audio deepfakes that modify voice characteristics such as intonation and accents, fitting 'Original Modification' as they mimic human voices.",Non-deceptive,"The intent is to detect these synthetic sounds as fake, focusing on non-deceptive applications like fraud detection.",Audio,The paper focuses on audio-based deepfakes involving voice features.,Holistic,Using MFCCs implies altering multiple aspects of voice characteristics.,8,2023,2023 10th International Conference on …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:y3cpJ6BQ2tsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
FZAG2CCA_Tariq et al. - 2024 - Beyond the Screen Evaluating Deepfake Detectors under Moire Pattern Effects.pdf,Beyond the Screen: Evaluating Deepfake Detectors under Moire Pattern Effects,"R Tariq, M Heo, SS Woo…","Social media, entertainment, and real-world scenarios involving identity manipulation",Artificially generated videos that may involve face swapping or other manipulations to deceive users,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which is a form of identity transfer from one person to another.",Deceptive,The evaluation focuses on detecting deepfakes used in scenarios where they may be deceptive or harmful.,Visual,The paper primarily deals with video-based visual deepfakes captured and analyzed.,Holistic,"The deepfakes involve complete identity replacement, such as face swapping.",3,2024,Proceedings of the IEEE …,openaccess.thecvf.com,"https://scholar.google.com/scholar?q=related:gUzS9TVV5qEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
A3PJ8YRW_Singh et al. - 2020 - Using GANs to synthesise minimum training data for deepfake generation.pdf,Using GANs to synthesise minimum training data for deepfake generation,"S Singh, R Sharma, AF Smeaton",Entertainment and customer relations or assistive care,Deepfakes are artificial images or videos used to deceive by swapping or modifying identities.,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are replaced, fitting the original-to-target transfer category.",Deceptive,"The focus is on creating deepfakes for legitimate applications like entertainment, hence non-deceptive intent.",Visual,The paper focuses on video-based visual deepfakes.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,29,2020,arXiv preprint arXiv:2011.05421,arxiv.org,"https://scholar.google.com/scholar?q=related:IvW7Z2edeFMJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
XMEDA87K_Siegel et al. - 2024 - Media forensic considerations of the usage of artificial intelligence using the example of deepfake.pdf,Media forensic considerations of the usage of artificial intelligence using the example of deepfake detection,"D Siegel, C Kraetzer, S Seidlitz, J Dittmann",Media forensic considerations for AI systems verification,Deepfakes are AI-generated content used to detect or analyze other AI systems in media forensic contexts.,Original-to-Target Transfer,The paper discusses face swapping deepfakes used in media forensics to replace identities between people.,Deceptive,Deepfakes are used both for detecting malicious activities (deceptive) and verifying AI systems (non-deceptive).,Visual,The paper focuses on video-based visual deepfakes for forensic analysis.,Targeted Attribute,"Face swapping involves targeted attribute manipulation, such as age or expression changes.",10,2024,Journal of Imaging,mdpi.com,"https://scholar.google.com/scholar?q=related:vODVZWdQZsIJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
zmac008.pdf,The detection of political deepfakes,"M Appel, F Prietzel",Political Manipulation,"AI-generated manipulations used for political purposes, often involving face swapping or attribute changes.",Original-to-Target Transfer,"The paper discusses deepfakes used for political manipulation, such as face swapping between individuals like Boris Johnson and Barack Obama.",Deceptive,The focus is on detecting these deepfakes to identify and correct them in political contexts.,Visual,"The deepfakes discussed are primarily visual, involving video content featuring political figures.",Targeted Attribute,"The paper examines changes in attributes like analytic thinking and political interest, which are broader cognitive factors rather than specific visual features.",106,2022,Journal of Computer-Mediated …,academic.oup.com,"https://scholar.google.com/scholar?q=related:PKC_c6ARTlsJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
MP485476_Alhaji et al. - 2024 - An approach to deepfake video detection based on ACO-PSO features and deep learning.pdf,An approach to deepfake video detection based on ACO-PSO features and deep learning,"HS Alhaji, Y Celik, S Goel","Security and fraud detection (misinformation control, identity theft prevention)",Artificially generated videos that use techniques like face swapping to deceive users.,Original-to-Target Transfer,The paper discusses deepfakes involving face swapping and identity replacement between individuals (Aï¿½ï¿½,Deceptive,The detection of deepfakes is aimed at identifying deceptive content for malicious purposes like misinformation.,Visual,"The focus is on video-based media, which involves visual manipulation.",Holistic,The features used suggest holistic identity replacement rather than specific attribute changes.,11,2024,Electronics,mdpi.com,"https://scholar.google.com/scholar?q=related:x3CHt5jer8oJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1-s2.0-S0166497223000950-main.pdf,Mapping the deepfake landscape for innovation: A multidisciplinary systematic review and future research agenda,"L Whittaker, R Mulcahy, K Letheren, J Kietzmann…","Entertainment (movies, social media), identity theft/fraud, political manipulation, pornography, art/creativity, education",Artificially generated videos that realistically swap faces between people or replace attributes to deceive,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people or attributes are replaced to deceive,Deceptive,"The applications include fraud, identity theft, and political manipulation, which are deceptive purposes",Visual,The paper focuses on video-based visual deepfakes for entertainment and malicious use,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes,63,2023,Technovation,Elsevier,"https://scholar.google.com/scholar?q=related:yZr58zlIddgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
LUELNQJZ_Preu et al. - 2022 - Perception vs. Reality understanding and evaluating the impact of synthetic image deepfakes over co.pdf,Perception vs. Reality: understanding and evaluating the impact of synthetic image deepfakes over college students,"E Preu, M Jackson, N Choudhury","Non-consensual intimate imagery, political misinformation, financial fraud, cybersecurity issues",Synthetic media used for deception or misleading purposes,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people (Aï¿½ï¿,Non-deceptive,"The focus is on using synthetic media for education and awareness, not deception",Visual,The paper focuses on image-based visual deepfakes,Holistic,No reasoning provided,12,2022,2022 IEEE 13th Annual …,ieeexplore.ieee.org,"https://scholar.google.com/scholar?q=related:BBSDpXF1a5EJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
MZRFIY2L_Ruiz et al. - 2023 - Practical disruption of image translation deepfake networks.pdf,Practical disruption of image translation deepfake networks,"N Ruiz, SA Bargal, C Xie, S Sclaroff","Misinformation, pornography, identity theft/fraud, and other malicious purposes",Artificially generated images that manipulate identities for deceptive purposes,Original-to-Target Transfer,"The paper discusses face swapping deepfakes where identities are transferred between people, fitting the original-to-target transfer category.",Deceptive,"The applications include misinformation and pornographic use, classified as deceptive intent.",Visual,The focus is on visual media through image translation networks.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,12,2023,… on artificial intelligence,ojs.aaai.org,"https://scholar.google.com/scholar?q=related:3Ulv-QT_Zq0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
XHN5L8F9_Ismail et al. - 2022 - An integrated spatiotemporal-based methodology for deepfake detection.pdf,An integrated spatiotemporal-based methodology for deepfake detection,"A Ismail, M Elpeltagy, MS Zaki, K Eldahshan",Identity theft/fraud (malicious impersonation),"Deepfakes are videos where faces are swapped between individuals to create realistic-looking fake content, often used for malicious purposes like identity theft or blackmail.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, where identities are transferred between people.",Deceptive,"The applications mentioned include malicious uses like blackmail and identity theft, classified as deceptive intent.",Visual,The deepfakes discussed are video-based visual content.,Holistic,The deepfakes involve complete face/identity replacement.,23,2022,Neural Computing and …,Springer,"https://scholar.google.com/scholar?q=related:Pl2pfPH4V-kJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
XQK3EQGQ_Ruiter - 2021 - The distinct wrong of deepfakes.pdf,The distinct wrong of deepfakes,A De Ruiter,"Manipulation for malicious purposes (e.g., identity theft, political manipulation), Identity theft/fraud",Deepfakes involve the creation of realistic video or audio representations that misrepresent individuals' identities or expressions.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and realistic video manipulation, which replace specific identities.",Deceptive,The intent is primarily for deception in contexts like identity theft and political manipulation.,Visual,The focus is on visual media such as videos used for these manipulative purposes.,Holistic,No reasoning provided,172,2021,Philosophy &Technology,Springer,"https://scholar.google.com/scholar?q=related:hkP7brPsIggJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
